"Temperature [degC](Time [s]), created by Plot Digitizer, 2.6.6"
"Date: 23.07.14, 09:53:30"


31
Time [s],Temperature [degC]
-20.1857,773.311,
-6.43484,772.195,
-0.359313,772.266,
18.4678,826.056,
35.7025,870.899,
54.8587,911.938,
79.1357,946.658,
106.617,972.488,
145.618,986.971,
178.237,983.522,
206.386,969.818,
227.824,952.209,
244.146,931.990,
266.870,904.192,
285.757,876.350,
315.857,818.025,
338.596,769.819,
370.308,694.931,
398.492,632.757,
426.360,566.753,
444.622,518.495,
449.750,501.973,
452.048,420.366,
452.150,281.335,
452.840,211.190,
453.192,167.826,
453.844,149.976,
459.292,133.458,
469.210,127.195,
484.561,123.547,
498.630,124.985,
