"Axial Level [mm](Time [s]), created by Plot Digitizer, 2.6.6"
"Date: 23.07.14, 10:18:00"


24
Time [s],Axial Level [mm]
-5.68434e-14,4000,
-0.0358399,3955.13,
15.8464,3807.64,
39.6876,3608.84,
81.0904,3361.91,
132.034,3041.24,
178.245,2803.91,
203.740,2672.41,
243.596,2492.80,
278.660,2322.81,
315.343,2175.26,
350.425,2027.71,
422.253,1812.73,
481.315,1639.46,
554.763,1450.13,
631.412,1260.78,
687.310,1132.39,
733.610,1007.24,
784.623,773.101,
818.051,558.249,
835.528,404.346,
845.013,260.083,
851.326,151.088,
854.464,74.1542,
